Invoice,Month,Category,Revenue,Quantity,Discount,Profit
1001,Jul,Grocery,77592,4,10,9202
1002,Apr,Grocery,49261,19,13,2868
1003,Nov,Clothing,6542,20,3,15561
1004,Aug,Electronics,26677,33,25,16512
1005,May,Clothing,51732,20,25,15899
1006,Jul,Grocery,55343,12,28,17220
1007,Oct,Electronics,44081,1,12,16934
1008,Mar,Clothing,67856,26,1,6429
1009,Jul,Clothing,24065,14,22,10076
1010,Nov,Grocery,59693,38,4,4564
1011,Nov,Electronics,31962,37,10,2389
1012,Aug,Grocery,33295,11,5,12593
1013,May,Electronics,18807,36,17,8274
1014,Apr,Sports,47348,13,20,18208
1015,Aug,Furniture,31432,3,9,19649
1016,Aug,Furniture,62854,33,3,18320
1017,Mar,Furniture,45262,6,8,11745
1018,Jun,Grocery,42080,10,5,15199
1019,May,Sports,6324,5,1,16876
1020,Feb,Electronics,40909,23,16,19180
1021,Aug,Clothing,24870,10,4,9245
1022,Dec,Electronics,39578,2,24,8214
1023,Jun,Clothing,77124,13,5,1726
1024,Feb,Electronics,31790,2,25,14832
1025,Dec,Sports,30289,20,11,12362
1026,May,Clothing,60129,1,22,19297
1027,Jan,Grocery,20485,37,20,11106
1028,Dec,Electronics,49482,9,9,8657
1029,Oct,Electronics,9748,17,21,19850
1030,Jun,Clothing,14435,9,20,15551
1031,Dec,Grocery,8709,11,26,8906
1032,Sep,Grocery,35355,15,24,8287
1033,Jan,Sports,60771,24,30,1892
1034,Nov,Grocery,62799,38,5,11222
1035,Nov,Grocery,18116,35,26,5675
1036,Oct,Grocery,30470,30,7,2933
1037,Dec,Furniture,47344,31,1,18764
1038,Dec,Sports,47918,5,11,12873
1039,Mar,Electronics,57224,14,12,18674
1040,Dec,Clothing,44298,11,24,19024
1041,Jul,Electronics,66629,9,20,14239
1042,Apr,Sports,71040,34,6,11874
1043,Sep,Clothing,33016,12,9,18602
1044,Mar,Sports,28960,35,12,6016
1045,May,Grocery,38591,35,16,14774
1046,Mar,Clothing,72641,1,25,10752
1047,Jul,Grocery,41395,22,20,18338
1048,May,Electronics,27700,29,27,16585
1049,Sep,Electronics,39620,8,29,8291
1050,Jul,Clothing,25559,11,25,1974
1051,Feb,Clothing,66642,37,13,5133
1052,Apr,Sports,26732,14,1,15663
1053,Sep,Sports,35354,30,27,4972
1054,Dec,Grocery,18843,35,21,6295
1055,Feb,Clothing,76726,21,10,14913
1056,Oct,Electronics,22640,37,0,10105
1057,Sep,Sports,57528,5,18,9228
1058,Oct,Sports,43413,19,20,10903
1059,May,Electronics,57638,14,3,4020
1060,Feb,Sports,57736,26,18,9987
1061,Apr,Grocery,73866,4,25,13880
1062,Dec,Clothing,24087,25,28,6233
1063,Dec,Electronics,46430,25,20,10516
1064,Jul,Clothing,29504,18,10,15559
1065,Dec,Sports,12114,8,7,17701
1066,Aug,Sports,15975,39,10,3396
1067,Mar,Electronics,16023,14,3,19546
1068,Jan,Grocery,26447,32,16,2591
1069,Apr,Furniture,28959,38,26,12303
1070,Feb,Electronics,71203,33,6,7183
1071,Aug,Furniture,34703,23,7,2312
1072,Apr,Furniture,14337,15,2,8314
1073,Feb,Grocery,51427,33,21,19767
1074,Jun,Furniture,66529,25,1,3139
1075,Jun,Furniture,36921,17,22,15688
1076,Oct,Grocery,38307,33,14,19088
1077,Apr,Furniture,32355,2,23,7924
1078,Jun,Furniture,9835,14,21,1362
1079,Feb,Furniture,25159,39,21,19988
1080,Oct,Electronics,52605,6,4,14481
1081,Dec,Electronics,43088,6,23,4738
1082,Feb,Electronics,60284,3,0,3469
1083,Oct,Grocery,62043,7,25,17106
1084,Apr,Sports,40547,8,3,17940
1085,Aug,Furniture,32532,15,14,10017
1086,Jul,Furniture,39349,29,19,3808
1087,Dec,Grocery,50445,33,18,17370
1088,Sep,Furniture,10713,30,2,15870
1089,Aug,Electronics,61178,39,19,13713
1090,May,Sports,54407,27,10,8561
1091,Feb,Clothing,75340,36,16,3719
1092,May,Furniture,55990,29,29,12700
1093,Aug,Electronics,70545,38,26,4741
1094,Oct,Clothing,63141,33,12,10766
1095,Sep,Sports,28793,37,10,4998
1096,Dec,Clothing,61570,27,1,19787
1097,Dec,Electronics,42892,33,8,17077
1098,Dec,Clothing,6015,4,25,1294
1099,Sep,Grocery,66813,22,1,11177
1100,Jan,Clothing,32712,2,20,10882
1101,Sep,Furniture,13415,10,8,2136
1102,Jul,Furniture,67292,5,8,3064
1103,Sep,Grocery,28833,10,7,8009
1104,Aug,Electronics,9158,33,16,13987
1105,Jan,Furniture,67680,38,0,5543
1106,Dec,Sports,25309,13,24,2007
1107,Aug,Furniture,11970,31,28,6445
1108,Aug,Furniture,77474,36,10,11706
1109,Nov,Electronics,51540,24,7,15749
1110,Mar,Clothing,25384,15,9,12718
1111,Jan,Furniture,23017,29,24,10439
1112,Aug,Grocery,13702,8,6,14281
1113,Mar,Clothing,5384,5,2,2435
1114,Mar,Sports,5404,29,2,1571
1115,Jan,Electronics,45943,4,17,3382
1116,Nov,Sports,52926,12,4,6084
1117,May,Clothing,34189,2,11,17661
1118,Oct,Clothing,17763,27,11,14507
1119,Jul,Clothing,23384,31,18,8059
1120,Oct,Sports,65100,36,29,19271
1121,Sep,Clothing,14860,36,5,13771
1122,Dec,Sports,55612,26,1,18649
1123,Jul,Clothing,28574,27,11,8491
1124,Sep,Grocery,28524,5,18,15527
1125,Aug,Clothing,74172,20,4,18424
1126,Dec,Sports,15916,11,11,15859
1127,Feb,Furniture,9809,10,26,9073
1128,Jan,Clothing,37201,38,26,10077
1129,Jul,Furniture,58330,6,16,12383
1130,Jul,Grocery,18456,8,28,17378
1131,Aug,Electronics,61397,23,16,3353
1132,May,Grocery,43765,26,9,5799
1133,Mar,Clothing,39816,12,24,18070
1134,Dec,Furniture,50106,26,22,12939
1135,Aug,Furniture,58932,13,16,3428
1136,Jun,Sports,22100,18,14,12296
1137,Nov,Furniture,62091,25,11,8813
1138,Mar,Sports,26949,33,29,15414
1139,Jan,Electronics,75080,12,15,12801
1140,Mar,Clothing,42744,36,23,12745
1141,May,Sports,50543,4,18,14025
1142,Mar,Electronics,41187,5,7,4356
1143,Jan,Furniture,12239,37,30,15288
1144,May,Furniture,19489,8,20,7540
1145,Oct,Electronics,63017,28,16,17422
1146,Jul,Furniture,66877,31,22,4342
1147,Jul,Electronics,48125,9,4,10078
1148,Nov,Sports,54922,29,21,3844
1149,Sep,Sports,37049,14,15,11396
1150,Oct,Electronics,42131,22,5,18482
1151,Oct,Sports,47944,11,7,19207
1152,Dec,Sports,78963,23,24,14998
1153,Mar,Sports,29285,1,17,14261
1154,Jul,Grocery,42626,37,24,4093
1155,Jan,Clothing,47808,21,11,12722
1156,Apr,Furniture,58871,26,14,12645
1157,Apr,Grocery,24198,36,26,16083
1158,May,Sports,24758,23,25,1988
1159,Jul,Electronics,20254,1,8,7446
1160,Jul,Sports,49238,15,12,17335
1161,Nov,Clothing,6252,21,25,17133
1162,Apr,Sports,44764,9,14,2682
1163,Jul,Electronics,42441,9,9,6626
1164,Nov,Clothing,58682,10,15,8424
1165,Mar,Sports,64494,26,6,13857
1166,Jun,Clothing,70215,35,16,13155
1167,Dec,Furniture,11949,25,22,18317
1168,Feb,Furniture,60393,26,25,12425
1169,Oct,Sports,78553,11,20,2980
1170,Sep,Clothing,11941,38,21,16522
1171,May,Electronics,30934,2,25,9984
1172,Jun,Sports,28386,7,6,18175
1173,Dec,Furniture,66886,18,13,16883
1174,Dec,Furniture,58413,27,14,6390
1175,Dec,Sports,61800,34,20,19639
1176,Dec,Clothing,47318,27,6,2607
1177,Apr,Furniture,75173,17,8,7573
1178,Nov,Clothing,75390,24,18,18368
1179,Oct,Furniture,57329,25,15,6776
1180,Jul,Furniture,48088,7,7,4676
1181,Dec,Grocery,44811,6,17,4380
1182,Sep,Furniture,60479,24,26,9711
1183,Jul,Electronics,24963,33,22,9782
1184,Jan,Sports,60123,29,28,18434
1185,Jan,Sports,78477,22,17,14997
1186,Sep,Clothing,19388,26,30,7342
1187,Nov,Furniture,10569,28,29,18343
1188,Sep,Electronics,74836,21,19,7059
1189,Apr,Clothing,41586,7,6,9884
1190,Sep,Grocery,17015,17,2,6655
1191,Mar,Clothing,50002,20,17,13091
1192,Jul,Clothing,11254,20,26,16251
1193,Jun,Furniture,22144,22,9,1526
1194,Aug,Grocery,29214,28,6,4224
1195,Nov,Clothing,76774,7,16,16069
1196,Sep,Electronics,11090,1,13,12536
1197,May,Electronics,16637,32,30,14547
1198,Jan,Sports,27415,13,23,19259
1199,Mar,Grocery,29071,30,2,2763
1200,Oct,Grocery,63243,23,11,9712
1201,Dec,Sports,46240,19,27,6797
1202,Aug,Clothing,38434,32,12,10208
1203,Nov,Grocery,74724,30,1,6109
1204,Jun,Electronics,33732,29,2,17500
1205,Aug,Electronics,16314,29,4,3433
1206,Sep,Furniture,28954,30,10,17967
1207,Apr,Grocery,62108,16,7,5167
1208,Jan,Clothing,41668,19,25,18773
1209,Jan,Sports,28061,18,22,9357
1210,Oct,Sports,44749,1,22,7154
1211,Apr,Clothing,21907,14,11,9920
1212,Dec,Furniture,23777,2,6,19427
1213,Jul,Sports,56745,28,14,18162
1214,Feb,Grocery,28624,30,23,1213
1215,Mar,Furniture,28321,38,16,4762
1216,Jan,Grocery,15488,4,3,14399
1217,May,Electronics,27574,1,28,10768
1218,Jan,Furniture,10240,8,21,11640
1219,Aug,Sports,48221,29,24,7731
1220,Jan,Furniture,15478,39,12,6791
1221,Nov,Furniture,60645,3,17,16822
1222,Jan,Furniture,24262,32,0,9783
1223,Feb,Furniture,57796,10,15,14621
1224,Feb,Grocery,9432,10,12,17019
1225,Dec,Electronics,69291,19,9,3720
1226,Jun,Clothing,64399,34,11,9905
1227,Jul,Furniture,55428,33,29,10127
1228,May,Sports,5302,23,1,17385
1229,Jan,Furniture,5055,28,22,7368
1230,Jan,Sports,13717,32,2,15056
