=== FINAL QA VERIFICATION REPORT ===

CHECK NAME                     | STATUS     | DETAIL
----------------------------------------------------------------------------------------------------
Numbers Consistency            | PASS       | Total revenue matches across data, EDA, and business report.
Forecast Values                | PASS       | No negatives, NaNs, flatlines, or unrealistic spikes in forecast.
Forecast Trend                 | PASS       | Forecast trend is reasonable (-49.8% growth/decline).
Forecast MAPE                  | WARNING    | MAPE is >30% due to zero-revenue days, but report correctly adds context with MAE and RMSE.
Dashboard Tabs                 | PASS       | st.tabs() is implemented.
Dashboard Filters              | PASS       | filtered_df is used extensively for chart generation.
Dashboard Download             | PASS       | CSV download uses filtered data.
Report Sections                | PASS       | All required sections exist.
Report Recommendations         | PASS       | All recommendations contain specific data points/numbers.
Report Figures                 | PASS       | All referenced figures exist.
Data Integrity (Row Count)     | PASS       | Row counts match (112650). No join fan-out.
Data Integrity (Duplicates)    | PASS       | No duplicate order_id + order_item_id combinations.
